Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 50/594] Loss: 4.6491 | Cls: 4.6333 | Loc: 4.6649
  [Batch 60/594] Loss: 4.5907 | Cls: 4.5816 | Loc: 4.5998
  [Batch 70/594] Loss: 4.3954 | Cls: 4.3923 | Loc: 4.3985
  [Batch 80/594] Loss: 4.4588 | Cls: 4.4551 | Loc: 4.4625
  [Batch 90/594] Loss: 4.7141 | Cls: 4.7106 | Loc: 4.7175
  [Batch 100/594] Loss: 4.6833 | Cls: 4.6807 | Loc: 4.6859
  [Batch 110/594] Loss: 4.5090 | Cls: 4.5055 | Loc: 4.5126
  [Batch 120/594] Loss: 4.5893 | Cls: 4.5850 | Loc: 4.5936
  [Batch 130/594] Loss: 4.5659 | Cls: 4.5593 | Loc: 4.5725
  [Batch 140/594] Loss: 4.4843 | Cls: 4.4801 | Loc: 4.4885
  [Batch 150/594] Loss: 4.6052 | Cls: 4.6006 | Loc: 4.6097
  [Batch 160/594] Loss: 4.6420 | Cls: 4.6391 | Loc: 4.6449
  [Batch 170/594] Loss: 4.6820 | Cls: 4.6790 | Loc: 4.6849
  [Batch 180/594] Loss: 4.6219 | Cls: 4.6209 | Loc: 4.6228
  [Batch 190/594] Loss: 4.6215 | Cls: 4.6198 | Loc: 4.6233
  [Batch 200/594] Loss: 4.4918 | Cls: 4.4899 | Loc: 4.4937
  [Batch 210/594] Loss: 4.5834 | Cls: 4.5813 | Loc: 4.5855
  [Batch 220/594] Loss: 4.6295 | Cls: 4.6282 | Loc: 4.6308
  [Batch 230/594] Loss: 4.5865 | Cls: 4.5804 | Loc: 4.5927
  [Batch 240/594] Loss: 4.7275 | Cls: 4.7210 | Loc: 4.7341
  [Batch 250/594] Loss: 4.7482 | Cls: 4.7454 | Loc: 4.7511
  [Batch 260/594] Loss: 4.5790 | Cls: 4.5758 | Loc: 4.5822
  [Batch 270/594] Loss: 4.7196 | Cls: 4.7144 | Loc: 4.7249
  [Batch 280/594] Loss: 4.6759 | Cls: 4.6740 | Loc: 4.6779
  [Batch 290/594] Loss: 4.6398 | Cls: 4.6369 | Loc: 4.6427
  [Batch 300/594] Loss: 4.5908 | Cls: 4.5881 | Loc: 4.5935
  [Batch 310/594] Loss: 4.5427 | Cls: 4.5395 | Loc: 4.5460
  [Batch 320/594] Loss: 4.5998 | Cls: 4.5964 | Loc: 4.6032
  [Batch 330/594] Loss: 4.6353 | Cls: 4.6315 | Loc: 4.6390
  [Batch 340/594] Loss: 4.5967 | Cls: 4.5937 | Loc: 4.5997
  [Batch 350/594] Loss: 4.5861 | Cls: 4.5762 | Loc: 4.5960
  [Batch 360/594] Loss: 4.5850 | Cls: 4.5822 | Loc: 4.5879
  [Batch 370/594] Loss: 4.5982 | Cls: 4.5973 | Loc: 4.5992
