Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 290/594] Loss: 4.1961 | Cls: 4.1762 | Loc: 4.2160
  [Batch 300/594] Loss: 3.3624 | Cls: 3.2762 | Loc: 3.4486
  [Batch 310/594] Loss: 4.3767 | Cls: 4.3559 | Loc: 4.3975
  [Batch 320/594] Loss: 3.9099 | Cls: 3.8879 | Loc: 3.9318
  [Batch 330/594] Loss: 4.2677 | Cls: 4.2481 | Loc: 4.2873
  [Batch 340/594] Loss: 3.8149 | Cls: 3.7925 | Loc: 3.8372
  [Batch 350/594] Loss: 4.1180 | Cls: 4.0968 | Loc: 4.1393
  [Batch 360/594] Loss: 4.2534 | Cls: 4.2343 | Loc: 4.2725
  [Batch 370/594] Loss: 3.5983 | Cls: 3.5718 | Loc: 3.6249
  [Batch 380/594] Loss: 4.0109 | Cls: 3.9863 | Loc: 4.0355
  [Batch 390/594] Loss: 3.2629 | Cls: 3.2328 | Loc: 3.2930
  [Batch 400/594] Loss: 4.0802 | Cls: 4.0528 | Loc: 4.1076
  [Batch 410/594] Loss: 3.9731 | Cls: 3.9564 | Loc: 3.9897
  [Batch 420/594] Loss: 4.3073 | Cls: 4.2807 | Loc: 4.3340
  [Batch 430/594] Loss: 4.2809 | Cls: 4.2557 | Loc: 4.3060
  [Batch 440/594] Loss: 3.5767 | Cls: 3.5458 | Loc: 3.6075
  [Batch 450/594] Loss: 3.7874 | Cls: 3.7615 | Loc: 3.8133
  [Batch 460/594] Loss: 4.1633 | Cls: 4.1408 | Loc: 4.1858
  [Batch 470/594] Loss: 3.9655 | Cls: 3.9383 | Loc: 3.9927
  [Batch 480/594] Loss: 3.7908 | Cls: 3.7679 | Loc: 3.8138
  [Batch 490/594] Loss: 3.7901 | Cls: 3.7613 | Loc: 3.8189
  [Batch 500/594] Loss: 4.0086 | Cls: 3.9871 | Loc: 4.0302
  [Batch 510/594] Loss: 3.9576 | Cls: 3.9325 | Loc: 3.9828
  [Batch 520/594] Loss: 3.8844 | Cls: 3.8574 | Loc: 3.9114
  [Batch 530/594] Loss: 3.9609 | Cls: 3.9287 | Loc: 3.9931
  [Batch 540/594] Loss: 3.9306 | Cls: 3.9037 | Loc: 3.9574
  [Batch 550/594] Loss: 3.9901 | Cls: 3.9640 | Loc: 4.0162
  [Batch 560/594] Loss: 4.6203 | Cls: 4.5604 | Loc: 4.6802
  [Batch 570/594] Loss: 3.0979 | Cls: 3.0667 | Loc: 3.1291
  [Batch 580/594] Loss: 3.7042 | Cls: 3.6750 | Loc: 3.7334
  [Batch 590/594] Loss: 3.8313 | Cls: 3.8030 | Loc: 3.8596
Epoch 5 Train - Loc Loss: 3.9998 | Cls Loss: 3.9484 | Tot Loss: 3.9741 | Acc: 26.24% | F1: 0.2213
